କ୍ଷ୍ୟ,6
ଲ୍ଲା,168
କ୍ଟୋ,22
କ୍ଷା,136
ଳୁ,13
ଳୀ,123
ଳେ,110
ତତ୍,1
ସାର୍,1
ଡ,58
ର୍ତ୍ତେ,1
ହୂ,4
ତୁଃ,1
ପ୍ରୀ,6
ଦୈ,10
ତ୍ୟୁ,63
ତ୍ୟେ,7
ନ୍ୟା,186
ଧୁମ୍,1
ମଦ୍,2
ୁ,1
ଦୋୟ,1
ର୍ଜି,2
ନ୍ୟୁ,57
ଓୟେ,1
କ୍ଟର୍,1
ଶ୍ବ,3
ତ୍ୟା,43
ତ୍ୟି,26
ସାୟୀ,1
ନଃ,1
ଦୟା,4
କାୟ,1
ୡ,1
କ୍ଷ୍ମ,5
ଳି,284
ଳା,710
ର୍ଣି,4
ଜାୟା,1
ମୟୀ,5
କ୍ଷ୍ମୀ,9
ଢ଼ି଼,1
ଗ୍ଲୋ,1
ର୍ବେ,8
ଗୀୟ,7
କ୍ନୋ,1
ଙ୍ଖା,2
ହୀ,139
ଲ୍ସ,2
ହ୍ରା,1
ର୍ବୋ,12
ବ୍ଲି,2
ଧାୟି,2
ସ୍ପି,2
ଦ୍ପ,1
ଳ୍ପୀ,3
ତାୟା,1
ନ୍ଦ୍ରୀୟ,3
ପ୍ତି,5
ପ୍ତା,6
ଧ୍ୟାୟ,2
ଐ,14
ମ୍ଭା,7
ମ୍ଭି,7
କ୍ଷି,38
ଅ,1829
ଦ୍ଵୀ,5
ଶା,650
ଶି,409
ଠ,138
ଶଂ,6
ଶଃ,2
ତୋ,15
ତୈ,2
ତେ,96
ସ୍ୟା,3
ରୀୟ,5
ତୃ,27
ତୀ,173
ତୁ,71
ର୍ଦ୍ଧୁ,1
ର,7674
ହ୍ନା,1
ଟୁ,10
ଢୀ,4
କ୍ଟ,14
ହ୍ନି,4
ୀ,1
ନ୍ତା,159
ର୍ଣ୍ଣା,15
ର୍ଣ୍ଣି,16
ହ୍ନୁ,112
ହ୍ନେ,54
ର୍ଦ୍ଧି,1
ର୍ଦ୍ଧା,56
ତା,1588
ତି,1098
ଳୀୟ,4
ତ୍ତ୍ଵା,2
ନାୟି,2
ଣ୍ମୟ,1
ଠାତ୍,1
ଶୀ,40
ଶୁ,214
ଦ୍ଵା,47
ଦ୍ଵି,21
କ୍ଷୁ,30
ଶେ,169
ଶୈ,16
ଶୋ,261
ମ୍ଭୀ,3
ତଃ,15
ମ୍ଭୂ,1
ଥ୍ଵୀ,1
ର୍ଜୁ,5
ର୍ଯ୍ୟ,211
ଳ୍ପା,2
ଳ୍ପି,20
ବସ୍,1
ଚ୍ୟୁଟ୍,1
ଦ୍ଦ,6
ସି,387
ଗଂ,1
ହେଁ,12
କ୍ତ୍ରୁ,1
ର୍ଯ୍ୟୋ,1
ଋ,11
ଗ୍ମ,1
ର୍ଜୀ,2
ପିର୍,1
ନ୍ସା,42
ଅୟ,1
ଷ୍ଟ୍ରେଟ୍,1
ଜ୍ଵ୍ଵ,2
ଯାୟୀ,5
ପ୍ନ,5
ଛ,297
ମ୍ୟୁ,5
ର୍ଭୟ,2
ଷେ,4
ଫ୍ଲଡ୍,1
ଣ୍ଡୁ,3
ଣ୍ଡୀ,5
ଣ୍ଡେ,7
ଷୂ,1
ଷୁ,12
ଷୀ,10
ଣ୍ଡୋ,6
ଦ୍ରି,5
ଫ,223
ନ୍ଧେ,1
ଷୋ,9
ନ୍ଧୁ,179
ବତ୍,5
ଙ୍କା,100
ସ୍କ୍ରି,1
ଗି,61
ଗା,220
ର୍ଶ୍ଵ,1
ଗେ,10
ଶ୍ରା,4
ଖୁଁ,1
ଗୃ,2
ଜ୍ଞା,100
ଗୁ,262
ଗୀ,84
ୋ,1
ଗୌ,18
ଗୋ,473
ର୍ତି,2
ତ୍ସ୍ୟ,1
ଅଂ,9
ଙ୍କୁ,151
ନ୍ଧା,11
ନ୍ଧି,14
ଳାୟ,1
ପ୍ରାୟ,18
ଙ୍କେ,2
ଷି,25
ଷା,222
ଙ୍କୋ,1
ଣ୍ଡି,65
ଣ୍ଡା,72
ଣ୍ମୟୀ,2
ସ୍ଥାୟୀ,2
ମ୍ୟା,2
ମ୍ର,2
ପୀୟ,1
ମ୍ପେ,1
ନେଟ୍,1
ଞ୍ଚାୟ,2
ଷ୍ଠି,18
ଲ୍ମୀ,1
ଦ୍ଭା,4
ର୍କି,51
ଭେ,108
ର୍ମୀ,7
ଭୁ,58
ହି,1331
ଭୃ,11
ଭୂ,132
ଭୌ,14
ଊ,7
ଗ୍ରି,2
ଭୈ,1
ଭୋ,78
ଛା,149
ଦ୍ମା,3
ମ୍ସ,4
ଈଂ,1
ପ୍ଳା,3
ଭୟ,17
ଚ,1037
ଜିୟ,1
ର୍ଚ୍ଚ,10
ସ୍ଥ୍ୟ,4
ତ୍ମ୍ୟ,3
ନୟ,8
ପ୍ରିଲ୍,1
ତ୍ଥା,1
ସ୍କୃ,39
ର୍ଭୀ,3
ପ,2674
ର୍ଭେ,2
ଷ୍ଟୟ,2
ଷ୍ଟୁ,5
ଖ୍ୟ,50
ନୈ,14
ଜ୍ୟୋ,6
ସ୍ଵା,60
ସ୍ଵି,5
ଷ୍ଟେ,13
ସ୍ଫୁ,1
ନୂ,29
ନୃ,5
ନୀ,437
ନୁ,312
ନେ,359
ଜ୍ୟେ,4
କ୍ଷେ,31
ନା,1434
ନି,618
ୠ,1
ତ୍ସ,10
ସ୍ଵୀ,7
ଦାୟା,2
ଶୂ,4
ର୍ତ୍ତୀ,31
